tot_claim_cnt_l180d,disb_bank_loan_wo_tbc,day_sinlastloan,tot_active_loans_cnt,tot_active_loans_sum,avg_loan_sum,avg_days_between_contracts
-3,-3,-3,-3,-3,-3,-3.0
22,0,427,0,-1,-1,343.0
-3,-3,-3,-3,-3,-3,-3.0
22,0,427,0,-1,-1,343.0
-3,-3,-3,-3,-3,-3,-3.0
22,0,427,0,-1,-1,343.0
22,0,427,0,-1,-1,343.0
-3,-3,-3,-3,-3,-3,-3.0
13,0,288,1,99995700,99995700,0.0
-3,-3,-3,-3,-3,-3,-3.0
13,0,288,1,99995700,99995700,0.0
-3,-3,-3,-3,-3,-3,-3.0
13,0,288,1,99995700,99995700,0.0
-3,-3,-3,-3,-3,-3,-3.0
13,0,288,1,99995700,99995700,0.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
13,0,288,1,99995700,99995700,0.0
13,0,288,1,99995700,99995700,0.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
3,2537851751,170,4,2542652151,635663037,-8.4
3,2537851751,170,4,2542652151,635663037,-8.4
-3,-3,-3,-3,-3,-3,-3.0
3,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
3,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
3,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
3,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
4,559300000,158,2,693700000,346850000,199.0
4,559300000,158,2,693700000,346850000,199.0
-3,-3,-3,-3,-3,-3,-3.0
3,0,-1,0,-1,-1,-1.0
3,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
50,2176827289,38,3,2176827289,725609096,0.8181818181818182
-3,-3,-3,-3,-3,-3,-3.0
50,2176827289,38,3,2176827289,725609096,0.8181818181818182
-3,-3,-3,-3,-3,-3,-3.0
50,2176827289,38,3,2176827289,725609096,0.8181818181818182
-3,-3,-3,-3,-3,-3,-3.0
50,2176827289,38,3,2176827289,725609096,0.8181818181818182
1,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
1,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
1,0,-1,0,-1,-1,-1.0
1,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
1,9905106700,69,3,10177832700,3392610900,287.3333333333333
1,9905106700,69,3,10177832700,3392610900,287.3333333333333
-3,-3,-3,-3,-3,-3,-3.0
6,1421662913,15,3,1421662913,473887637,310.75
-3,-3,-3,-3,-3,-3,-3.0
6,1421662913,15,3,1421662913,473887637,310.75
-3,-3,-3,-3,-3,-3,-3.0
6,1421662913,15,3,1421662913,473887637,310.75
6,1421662913,15,3,1421662913,473887637,310.75
-3,-3,-3,-3,-3,-3,-3.0
1,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
1,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
0,233087600,141,2,423137600,211568800,-71.0
-3,-3,-3,-3,-3,-3,-3.0
0,233087600,141,2,423137600,211568800,-71.0
-3,-3,-3,-3,-3,-3,-3.0
0,233087600,141,2,423137600,211568800,-71.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
8,300000000,19,2,724380000,362190000,86.11764705882354
-3,-3,-3,-3,-3,-3,-3.0
0,233087600,141,2,423137600,211568800,-71.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
8,300000000,19,2,724380000,362190000,86.11764705882354
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
8,300000000,19,2,724380000,362190000,86.11764705882354
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
8,300000000,19,2,724380000,362190000,86.11764705882354
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
1,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
1,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
1,0,-1,0,-1,-1,-1.0
1,0,-1,0,-1,-1,-1.0
1,0,1730,0,-1,-1,0.0
-3,-3,-3,-3,-3,-3,-3.0
1,0,1730,0,-1,-1,0.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,726,0,-1,-1,451.5
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
0,0,-1,0,-1,-1,-1.0
2,0,726,0,-1,-1,451.5
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
0,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
0,0,-1,0,-1,-1,-1.0
2,0,726,0,-1,-1,451.5
-3,-3,-3,-3,-3,-3,-3.0
2,0,726,0,-1,-1,451.5
0,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
0,0,-1,0,-1,-1,-1.0
0,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
4,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
4,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
4,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
4,0,-1,0,-1,-1,-1.0
-3,-3,-3,-3,-3,-3,-3.0
0,0,434,0,-1,-1,0.0
-3,-3,-3,-3,-3,-3,-3.0
0,0,434,0,-1,-1,0.0
-3,-3,-3,-3,-3,-3,-3.0
0,0,434,0,-1,-1,0.0
-3,-3,-3,-3,-3,-3,-3.0
0,0,434,0,-1,-1,0.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
0,19384938046,209,1,19384938046,19384938046,0.0
-3,-3,-3,-3,-3,-3,-3.0
0,19384938046,209,1,19384938046,19384938046,0.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
0,19384938046,209,1,19384938046,19384938046,0.0
0,19384938046,209,1,19384938046,19384938046,0.0
1,10308484000,22,2,11508484000,5754242000,1223.0
1,10308484000,22,2,11508484000,5754242000,1223.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
5,3225259367,173,1,3225259367,3225259367,671.6666666666666
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
5,3225259367,173,1,3225259367,3225259367,671.6666666666666
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
5,3225259367,173,1,3225259367,3225259367,671.6666666666666
-3,-3,-3,-3,-3,-3,-3.0
5,3225259367,173,1,3225259367,3225259367,671.6666666666666
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,993,0,-1,-1,146.6
2,28399988003,888,1,28399988003,28399988003,0.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,993,0,-1,-1,146.6
-3,-3,-3,-3,-3,-3,-3.0
2,28399988003,888,1,28399988003,28399988003,0.0
-3,-3,-3,-3,-3,-3,-3.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,993,0,-1,-1,146.6
-3,-3,-3,-3,-3,-3,-3.0
2,28399988003,888,1,28399988003,28399988003,0.0
-3,-3,-3,-3,-3,-3,-3.0
2,0,993,0,-1,-1,146.6
-3,-3,-3,-3,-3,-3,-3.0
2,28399988003,888,1,28399988003,28399988003,0.0
0,389592220,471,2,465192220,232596110,113.71428571428571
-3,-3,-3,-3,-3,-3,-3.0
0,389592220,471,2,465192220,232596110,113.71428571428571
3,8065950137,123,2,8065950137,4032975068,104.71428571428571
-3,-3,-3,-3,-3,-3,-3.0
0,389592220,471,2,465192220,232596110,113.71428571428571
3,8065950137,123,2,8065950137,4032975068,104.71428571428571
-3,-3,-3,-3,-3,-3,-3.0
